#x,y,z=0.0,colorCode=R White|Black|Red|Green|Blue|Cyan|Magenta|grAy    # pierwsza linia nie jest brana pod uwage. sin(x) -1 do 3.8 liczona przez excel wiec 3.14 to moze byc 180st.
-1,0000	-0,8415	0,0998	G
-0,9000	-0,7833	0,1987	
-0,8000	-0,7174	0,2955	
-0,7000	-0,6442	0,3894	
-0,6000	-0,5646	0,4794	
-0,5000	-0,4794	0,5646	
-0,4000	-0,3894	0,6442	
-0,3000	-0,2955	0,7174	
-0,2000	-0,1987	0,7833	
-0,1000	-0,0998	0,8415	
0,0000	0,0000	0,8912	
0,1000	0,0998	0,9320	
0,2000	0,1987	0,9636	
0,3000	0,2955	0,9854	
0,4000	0,3894	0,9975	
0,5000	0,4794	0,9996	
0,6000	0,5646	0,9917	
0,7000	0,6442	0,9738	
0,8000	0,7174	0,9463	
0,9000	0,7833	0,9093	
1,0000	0,8415	0,8632	
1,1000	0,8912	0,8085	
1,2000	0,9320	0,7457	
1,3000	0,9636	0,6755	
1,4000	0,9854	0,5985	
1,5000	0,9975	0,5155	
1,6000	0,9996	0,4274	
1,7000	0,9917	0,3350	
1,8000	0,9738	0,2392	
1,9000	0,9463	0,1411	
2,0000	0,9093	0,0416	
2,1000	0,8632	-0,0584	
2,2000	0,8085	-0,1577	
2,3000	0,7457	-0,2555	
2,4000	0,6755	-0,3508	
2,5000	0,5985	-0,4425	
2,6000	0,5155	-0,5298	
2,7000	0,4274	-0,6119	
2,8000	0,3350	0,0000	
2,9000	0,2392	0,0000	
3,0000	0,1411	0,0000	
3,1000	0,0416	0,0000	
3,2000	-0,0584	0,0000	
3,3000	-0,1577	0,0000	
3,4000	-0,2555	0,0000	
3,5000	-0,3508	0,0000	
3,6000	-0,4425	0,0000	
3,7000	-0,5298	0,0000	
3,8000	-0,6119	0,0000	
