#x,y,z=0.0,colorCode=R White|Black|Red|Green|Blue|Cyan|Magenta|grAy    # pierwsza linia nie jest brana pod uwage. pomiedzy danymi Tabulator, kolejnosc prostopadloscianu: 1. d�l-lewy-prz�d, 2. d�l-prawy-prz�d 3. d�l-prawy-tyl 4. d�l-lewy-tyl 5.g�ra...
-40.0,130.0,0.0
-15.0,130.0,0.0
-15.0,138.0,0.0
-40.0,138.0,0.0
-40.0,130.0,12.0
-15.0,130.0,12.0
-15.0,138.0,12.0
-40.0,138.0,12.0
40.0,130.0,0.0
15.0,130.0,0.0
15.0,138.0,0.0
40.0,138.0,0.0
40.0,130.0,12.0
15.0,130.0,12.0
15.0,138.0,12.0
40.0,138.0,12.0
-40.0,160.0,0.0
-15.0,160.0,0.0
-15.0,168.0,0.0
-40.0,168.0,0.0
-40.0,160.0,12.0
-15.0,160.0,12.0
-15.0,168.0,12.0
-40.0,168.0,12.0
40.0,180.0,0.0
15.0,180.0,0.0
15.0,188.0,0.0
40.0,188.0,0.0
40.0,180.0,8.0
15.0,180.0,8.0
15.0,188.0,8.0
40.0,188.0,8.0
