#x,y,colorCode=R White|Black|Red|Green|Blue|Cyan|Magenta|grAy    # pierwsza linia nie jest brana pod uwage. sin(x) -1 do 3.8 liczona przez excel wiec 3.14 to moze byc 180st.
-1.0000,-0.8415,G
-0.9000,-0.7833
-0.8000,-0.7174
-0.7000,-0.6442
-0.6000,-0.5646
-0.5000,-0.4794
-0.4000,-0.3894
-0.3000,-0.2955
-0.2000,-0.1987
-0.1000,-0.0998
0.0000,0.0000
0.1000,0.0998
0.2000,0.1987
0.3000,0.2955
0.4000,0.3894
0.5000,0.4794
0.6000,0.5646
0.7000,0.6442
0.8000,0.7174
0.9000,0.7833
1.0000,0.8415
1.1000,0.8912
1.2000,0.9320
1.3000,0.9636
1.4000,0.9854
1.5000,0.9975
1.6000,0.9996
1.7000,0.9917
1.8000,0.9738
1.9000,0.9463
2.0000,0.9093
2.1000,0.8632
2.2000,0.8085
2.3000,0.7457
2.4000,0.6755
2.5000,0.5985
2.6000,0.5155
2.7000,0.4274
2.8000,0.3350
2.9000,0.2392
3.0000,0.1411
3.1000,0.0416
3.2000,-0.0584
3.3000,-0.1577
3.4000,-0.2555
3.5000,-0.3508
3.6000,-0.4425
3.7000,-0.5298
3.8000,-0.6119
