#x,y,z=0.0,colorCode=R White|Black|Red|Green|Blue|Cyan|Magenta|grAy    # pierwsza linia nie jest brana pod uwage. pomiedzy danymi Tabulator, kolejnosc prostopadloscianu: 1. dól-lewy-przód, 2. dól-prawy-przód 3. dól-prawy-tyl 4. dól-lewy-tyl 5.góra...
-40.0,130.0,0.0,R
-35.0,130.0,0.0
-35.0,138.0,0.0
-40.0,138.0,0.0
-40.0,130.0,12.0
-35.0,130.0,12.0
-35.0,138.0,12.0
-40.0,138.0,12.0
40.0,130.0,0.0,G
35.0,130.0,0.0
35.0,138.0,0.0
40.0,138.0,0.0
40.0,130.0,12.0
35.0,130.0,12.0
35.0,138.0,12.0
40.0,138.0,12.0
-40.0,160.0,0.0,B
-35.0,160.0,0.0
-35.0,168.0,0.0
-40.0,168.0,0.0
-40.0,160.0,12.0
-35.0,160.0,12.0
-35.0,168.0,12.0
-40.0,168.0,12.0
40.0,180.0,0.0,M
35.0,180.0,0.0
35.0,188.0,0.0
40.0,188.0,0.0
40.0,180.0,8.0
35.0,180.0,8.0
35.0,188.0,8.0
40.0,188.0,8.0
